easting,northing,line_id,magnetic_nt,gravity_mgal,height_m
450050.0,8649750.0,L002,-24.590846,-1.186764,938.653
450150.0,8649750.0,L002,-24.950444,-1.161650,939.985
450250.0,8649750.0,L002,-25.240782,-1.136524,941.566
450350.0,8649750.0,L002,-25.437831,-1.111386,943.385
450450.0,8649750.0,L002,-25.520864,-1.086235,945.426
450550.0,8649750.0,L002,-25.473185,-1.061073,947.672
450650.0,8649750.0,L002,-25.282708,-1.035900,950.105
450750.0,8649750.0,L002,-24.942372,-1.010718,952.705
450850.0,8649750.0,L002,-24.450357,-0.985528,955.451
450950.0,8649750.0,L002,-23.810129,-0.960335,958.320
451050.0,8649750.0,L002,-23.030282,-0.935140,961.288
451150.0,8649750.0,L002,-22.124213,-0.909949,964.331
451250.0,8649750.0,L002,-21.109630,-0.884766,967.424
451350.0,8649750.0,L002,-20.007924,-0.859599,970.542
451450.0,8649750.0,L002,-18.843422,-0.834455,973.659
451550.0,8649750.0,L002,-17.642555,-0.809341,976.749
451650.0,8649750.0,L002,-16.432972,-0.784269,979.789
451750.0,8649750.0,L002,-15.242621,-0.759248,982.752
451850.0,8649750.0,L002,-14.098831,-0.734292,985.616
451950.0,8649750.0,L002,-13.027424,-0.709413,988.356
452050.0,8649750.0,L002,-12.051872,-0.684627,990.952
452150.0,8649750.0,L002,-11.192522,-0.659947,993.383
452250.0,8649750.0,L002,-10.465921,-0.635392,995.630
452350.0,8649750.0,L002,-9.884235,-0.610979,997.676
452450.0,8649750.0,L002,-9.454802,-0.586724,999.506
452550.0,8649750.0,L002,-9.179823,-0.562648,1001.107
452650.0,8649750.0,L002,-9.056209,-0.538767,1002.469
452750.0,8649750.0,L002,-9.075596,-0.515101,1003.585
452850.0,8649750.0,L002,-9.224545,-0.491668,1004.447
452950.0,8649750.0,L002,-9.484919,-0.468485,1005.054
453050.0,8649750.0,L002,-9.834459,-0.445567,1005.406
453150.0,8649750.0,L002,-10.247525,-0.422930,1005.505
453250.0,8649750.0,L002,-10.696005,-0.400587,1005.357
453350.0,8649750.0,L002,-11.150348,-0.378549,1004.970
453450.0,8649750.0,L002,-11.580696,-0.356823,1004.356
453550.0,8649750.0,L002,-11.958057,-0.335416,1003.528
453650.0,8649750.0,L002,-12.255475,-0.314330,1002.503
453750.0,8649750.0,L002,-12.449134,-0.293563,1001.299
453850.0,8649750.0,L002,-12.519347,-0.273110,999.936
453950.0,8649750.0,L002,-12.451382,-0.252963,998.438
454050.0,8649750.0,L002,-12.236074,-0.233107,996.827
454150.0,8649750.0,L002,-11.870205,-0.213527,995.129
454250.0,8649750.0,L002,-11.356618,-0.194200,993.368
454350.0,8649750.0,L002,-10.704081,-0.175100,991.572
454450.0,8649750.0,L002,-9.926893,-0.156197,989.765
454550.0,8649750.0,L002,-9.044264,-0.137457,987.972
454650.0,8649750.0,L002,-8.079495,-0.118843,986.217
454750.0,8649750.0,L002,-7.059002,-0.100312,984.522
